LAT,LON,HOUSE_ID,ADDRESS,HOUSE_TYPE,LEVELS,LIFTS,RMC,RMC_NLIVE,INHAB,AREA,AREA_LIVE,AREA_NLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENRG_CLS,BLAG_PLAY,BLAG_SPORT,BLAG_OTHER,OTHER,COLD_WATER,HOT_WATER,FUNDAMENT,PEREKRYT,MAT_NES,INOE_OBOR,ELECT_TYPE,ELECT_VVOD,TEPLO_TYPE,GORVODA_TY,HOLVODA_TY,VOTV_TYPE,VOTV_YAM,GAZ_TYPE,VSTK_TYPE
57.999048,61.685604,7629863,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Гоголя, д. 26",Многоквартирный дом,2.0,,8.0,,31.0,325.3,325.3,0.0,26.1,1280.0,,66:01:2301010:45,Не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",Ленточный,Деревянные,Деревянные,,Центральное,,Печное,Отсутствует,Отсутствует,Автономное,,Отсутствует,Не заполнено
57.983219,61.674483,9080601,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 13",Многоквартирный дом,2.0,,,,11.0,368.8,368.8,0.0,0.0,,,,Не заполнено,,,,,,,,,,,,,,,,,,,
57.983515,61.675282,9021351,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 14",Многоквартирный дом,1.0,,4.0,,4.575187969924812,121.7,121.7,0.0,0.0,157.0,,,Не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",Ленточный,Деревянные,Деревянные,,Центральное,,Печное,Отсутствует,Отсутствует,Отсутствует,,Отсутствует,Отсутствует
57.984393,61.674734,9080624,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 15",Многоквартирный дом,1.0,,,,9.0,290.3,260.3,0.0,30.0,1500.0,,66:01:2301013:255,Не заполнено,,,,,,,,,,,,,,,,,,,
57.98498,61.675884,8948138,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 22",Многоквартирный дом,1.0,,4.0,,5.518796992481203,146.8,146.8,0.0,0.0,94.2,,"Не,межеван",Не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",Ленточный,Деревянные,Деревянные,,Центральное,,Печное,Отсутствует,Отсутствует,Отсутствует,,Отсутствует,Отсутствует
57.985467,61.676037,8947628,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 24",Многоквартирный дом,2.0,,8.0,,9.793233082706767,392.1,260.5,131.6,0.0,157.2,,"не,межеван",не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",Ленточный,Деревянные,Деревянные,,центральная,,автономная,центральная,центральная,центральная,,центральная,Отсутствует
57.985791,61.676127,8947636,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 26",Жилой дом блокированной застройки,2.0,,6.0,1.0,14.0,350.2,350.2,0.0,0.0,133.0,,66:01:2301013:78,Не присвоен,,,,,,,Ленточный,Деревянные,Деревянные,,Центральное,,Печное,Отсутствует,Отсутствует,Отсутствует,,Отсутствует,Отсутствует
57.986927,61.676073,9349688,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 34",Жилой дом (индивидуально-определенное здание),1.0,,,,3.0,30.4,30.4,,,,,,,,,,,,,,Деревянные,Деревянные,,,,,,,,,,
57.987084,61.675192,9083339,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горняков, д. 35",Жилой дом (индивидуально-определенное здание),1.0,,,,2.0,38.4,38.4,,,,,,,,,,,,,,Деревянные,Деревянные,,,,,,,,,,
57.999539,61.684148,7629875,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горького, д. 40",Многоквартирный дом,2.0,,8.0,,21.0,312.7,312.7,0.0,0.0,0.0,,,Не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",Ленточный,Деревянные,Деревянные,,Центральное,,Печное,Отсутствует,Отсутствует,Автономное,,Отсутствует,Наружные водостоки
57.999287,61.683798,6705092,"обл. Свердловская, р-н. Алапаевский, рп. Верхняя Синячиха, ул. Горького, д. 42",Многоквартирный дом,2.0,,8.0,,25.0,348.2,326.2,0.0,28.6,1265.0,,66:01:2301010:31,не присвоен,,,,,"Отсутствует, установка не требуется","Отсутствует, установка не требуется",ленточный,Деревянные,Деревянные,,центральная,,автономная,центральная,центральная,автономная,,центральная,Отсутствует
